20180412-2244,97.67%
20180413-0347,97.16%
20180413-2238,97.67%
20180416-1139,97.67%
20180416-2248,96.38%
20180417-0342,97.67%
20180418-0339,97.42%
20180418-1143,97.67%
20180418-2238,97.16%
20180419-0341,96.88%
20180419-2241,97.42%
20180420-1148,97.67%
20180420-2244,97.42%
20180421-0336,97.67%
20180423-1837,97.16%
20180424-0021,97.42%
20180424-1843,97.42%
20180425-0349,97.67%
20180425-1839,96.90%
20180426-0345,97.67%
20180426-1844,97.42%
20180426-2237,97.42%
20180427-1340,97.42%
20180428-0015,97.67%
20180501-1908,97.16%
20180502-0343,97.67%
20180502-1842,97.67%
20180502-2244,97.67%
20180503-1838,97.16%
20180503-2240,97.42%
20180504-2238,97.16%
20180505-0342,97.67%
20180507-1535,97.16%
20180508-1542,97.42%
20180508-2246,97.67%
20180509-0350,97.67%
20180509-1839,97.42%
20180510-0345,97.42%
20180510-1846,96.90%
20180511-0343,97.42%
20180511-1845,96.90%
20180512-0342,97.42%
20180512-1844,95.25%
20180513-1723,97.67%
20180515-1904,96.90%
20180516-0340,97.42%
20180517-1815,97.42%
20180518-0019,97.42%
20180518-2234,97.42%
20180519-0338,97.42%
20180520-2238,97.67%
20180521-1136,97.42%
20180521-1448,95.89%
20180522-0347,97.67%
20180522-1847,96.90%
20180522-2310,97.42%
20180523-2245,97.67%
20180524-2242,97.67%
20180525-0346,97.42%
20180525-1846,95.57%
20180525-2249,97.67%
20180530-0059,97.16%
20180530-2254,97.16%
20180531-0347,97.42%
20180531-1949,97.67%
20180601-0346,97.67%
20180601-1847,97.42%
20180602-1153,97.42%
20180604-2338,97.41%
20180605-0344,97.67%
20180605-1844,97.42%
20180606-0340,95.66%
20180606-1658,97.42%
20180606-2242,97.42%
20180607-2249,97.42%
20180608-2246,97.42%
20180609-0340,90.29%
20180611-2241,97.42%
20180612-0345,95.60%
20180612-2238,97.67%
20180613-0342,97.42%
20180613-2244,97.67%
20180614-0338,97.42%
20180615-0347,96.64%
20180615-1144,97.67%
20180615-2242,97.42%
20180616-0346,97.67%
20180618-0338,97.16%
20180618-1807,97.42%
20180619-0355,97.42%
20180619-0706,97.42%
20180619-2246,97.42%
20180620-0340,97.16%
20180620-2254,97.67%
20180621-0338,94.67%
20180622-0346,97.42%
20180622-2240,97.67%
20180626-1824,97.16%
20180627-0342,97.67%
20180627-2238,97.42%
20180628-0343,97.67%
20180628-1140,90.18%
20180629-2242,97.42%
20180630-0347,97.42%
20180703-0345,97.67%
20180704-0028,97.67%
20180704-0340,97.42%
20180705-2055,97.42%
20180709-2240,97.42%
20180711-0338,97.16%
20180711-1143,97.67%
20180712-2245,97.42%
20180714-0344,96.90%
20180714-1934,97.16%
20180716-1841,97.42%
20180716-2244,97.67%
20180717-1920,97.42%
